text,label,seed_group_id
what helps to do well in cs202,advise,33
compose a poem for my girlfriend,out_of_scope,153
what should i take next semester,plan,1
what's the email on my account,my_info,166
predict my road to graduation,predict,58
petition to graduate below the credit requirement,petition,130
show my classes this term,my_info,158
what do i still need to graduate,audit,36
ask for an exception to take cs401 without its prereq,petition,122
should i take cs301 and cs302 together,advise,26
i need to talk to a real person,escalate,133
what have i completed and what's outstanding,audit,46
request permission to enroll while i have a hold,petition,131
roll back the changes to my plan,plans_manage,95
which math course should i take first,advise,32
"bot can't do it, get me staff",escalate,140
whats my student id,my_info,157
petition to take cs410 even though it's not offered,petition,129
whats a healthy number of credits,advise,29
which plan is active,plans_manage,91
list all the required courses i have left,audit,45
waitlist me when it's full,waitlist,79
write the code for my project,out_of_scope,148
request to be allowed above the credit max,petition,124
petition to overload to 21 credits,petition,121
delete my old plan,plans_manage,87
show my completed courses,my_info,165
is doing CS301 + CS302 together a bad idea,advise,26
add me to cs302 waiting list,waitlist,73
am i gonna graduate on schedule,predict,48
make it official: my major is now cs,major_change,116
whats my major,my_info,160
show every class i still need,audit,45
escalate me to a person who can decide,escalate,141
send in my request to change majors,major_change,117
complete and file my graduation paperwork,grad_apply,107
ask for an exception to the credit cap,petition,124
add me to both section waitlists,waitlist,81
petition to take cs400 without meeting the prereq,petition,120
what if i redo CS202 for a better grade,whatif,15
make me a schedule with nothing on fridays,plan,3
i wanna leave the cs201 waitlist,waitlist,75
what graduation date do they have for me,my_info,162
are you a real person or ai,chitchat,179
plan next semester and include cs301,plan,6
how many electives am i missing,audit,43
get me into cs320,register,68
finish my programming homework,out_of_scope,145
register me for cs201 morning class,register,66
could i end up behind schedule,predict,56
change my major officially to cs,major_change,116
is my math requirement satisfied,audit,39
plan my summer term,plan,8
plan my semester with no friday classes,plan,3
file a petition to exceed the credit cap to 21,petition,121
list the courses i've taken,my_info,165
how should i sequence my major courses,advise,27
give me a two-term schedule,plan,10
cya,chitchat,173
mornin,chitchat,172
suppose i switch CS320 out for CS330,whatif,19
petition for late add of my classes,petition,123
i want a plan with only morning classes,plan,3
make a schedule around 15 credits,plan,5
is it smart to jump into cs400,advise,31
what plan is set as active,plans_manage,91
file to waive cs401's prerequisite,petition,122
cancel my spot on cs340 waitlist,waitlist,82
is it cold outside right now,out_of_scope,147
save the plan you just made,plans_manage,84
put my entire plan into registration,register,67
fill out the major change form for me,major_change,110
could overloading get me done a semester ahead,whatif,23
